company,year,employees
Meta,2021,71970
Meta,2020,58604
Meta,2019,44942
Meta,2018,35587
Meta,2017,25105
Meta,2016,17048
Meta,2015,12691
Meta,2014,9199
Meta,2013,6337
Meta,2012,4619
Meta,2011,3200
Alphabet,2021,156500
Alphabet,2020,135301
Alphabet,2019,118899
Alphabet,2018,98771
Alphabet,2017,80110
Alphabet,2016,72053
Alphabet,2015,61814
Alphabet,2014,53600
Alphabet,2013,47756
Alphabet,2012,53861
Alphabet,2011,32467
Amazon,2021,1608000
Amazon,2020,1298000
Amazon,2019,798000
Amazon,2018,647500
Amazon,2017,566000
Amazon,2016,341400
Amazon,2015,230800
Amazon,2014,154100
Amazon,2013,117300
Amazon,2012,88400
Amazon,2011,56200
Apple,2021,154000
Apple,2020,147000
Apple,2019,137000
Apple,2018,132000
Apple,2017,123000
Apple,2016,116000
Apple,2015,110000
Apple,2014,97000
Apple,2013,84400
Apple,2012,76100
Apple,2011,63300
